country,leader,party,lr,president,term,startofterm,yearbegin,endofterm,yearend,speechtype,speechnum,codernum,rubricgrade,averagerubric,totalaverage,wb_region,region
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,campaign,1,1,1,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,campaign,1,2,0,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,campaign,1,3,,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,campaign,1,4,,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,ribbon cutting,2,1,0,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,ribbon cutting,2,2,0,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,ribbon cutting,2,3,,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,ribbon cutting,2,4,,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,international,3,1,0,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,international,3,2,0,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,international,3,3,,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,international,3,4,,0,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,famous,4,1,0,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,famous,4,2,1,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,famous,4,3,,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Serbia,Zoran Đinđić,Democratic Party,-1,0,1,25-Jan-01,2001,12-Mar-03,2003,famous,4,4,,0.5,0.25,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,campaign,1,1,2,2,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,campaign,1,2,2,2,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,campaign,1,3,,2,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,campaign,1,4,,2,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,ribbon cutting,2,1,0,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,ribbon cutting,2,2,0,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,ribbon cutting,2,3,,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,ribbon cutting,2,4,,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,international,3,1,0,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,international,3,2,0,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,international,3,3,,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,international,3,4,,0,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,famous,4,1,1,1,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,famous,4,2,1,1,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,famous,4,3,,1,0.75,Europe & Central Asia,Central and Eastern Europe
Ukraine,Yulia Tymoshenko,Bloc Yuliya Tymoshenko,-1,0,1,18-Dec-07,2007,4-Mar-10,2010,famous,4,4,,1,0.75,Europe & Central Asia,Central and Eastern Europe
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,campaign,1,1,0,0,0,East Asia & Pacific,East Asia & Pacific
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,campaign,1,2,,0,0,East Asia & Pacific,East Asia & Pacific
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,campaign,1,3,,0,0,East Asia & Pacific,East Asia & Pacific
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,campaign,1,4,,0,0,East Asia & Pacific,East Asia & Pacific
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,ribbon cutting,2,1,0,0,0,East Asia & Pacific,East Asia & Pacific
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,ribbon cutting,2,2,,0,0,East Asia & Pacific,East Asia & Pacific
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,ribbon cutting,2,3,,0,0,East Asia & Pacific,East Asia & Pacific
