merging_variable,country,leader,party,lr,president,term,startofterm,yearbegin,endofterm,yearend,speechtype,speechnum,codernum,rubricgrade,averagerubric,totalaverage,wb_region,region
Albania_Berisha_Campaign_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Campaign,1,1,0,0.5,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Campaign_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Campaign,1,2,1,0.5,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Campaign_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Campaign,1,3,NA,0.5,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Campaign_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Campaign,1,4,NA,0.5,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Ribbon cutting,2,1,0,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Ribbon cutting,2,2,0,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Ribbon cutting,2,3,NA,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Ribbon cutting,2,4,NA,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,International,3,1,0,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,International,3,2,0,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,International,3,3,NA,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,International,3,4,NA,0,0.125,Europe & Central Asia,Central and Eastern Europe
