text,label,language,text_len,emo_label,pos,neg,neu,compound
wearing a fake engagement ring so guys won’t approach you at the library ,1.8,English,13,1,0.186,0.193,0.621,-0.0258
Bees vs. Wasps. ,1.0,English,3,1,0.0,0.0,1.0,0.0
Here is a nice equation: 0+0-0-0+0=0,1.0,English,6,0,0.412,0.0,0.588,0.4215
  Enjoy each new day!😊🇨🇦🐞🐭,1.6,English,4,0,0.538,0.0,0.462,0.5411
I can be having a perfectly good day then I think about Star Wars episode 9 and it’s instantly ruined,1.6,English,20,0,0.275,0.26,0.465,0.1027
 If only we could have seen Thurman vs Jeff Horn.,1.25,English,10,1,0.0,0.0,1.0,0.0
made really ballerific salted caramel brownies and this was the best process shot I’ve ever taken ,1.2,English,16,0,0.219,0.0,0.781,0.6369
 Every clipper season is easily better then rose and 2017 too,1.4,English,11,0,0.371,0.0,0.629,0.6486
“If you trust them they will always be here for us too” 💕💕💕 ,3.0,English,13,0,0.216,0.0,0.784,0.5106
 E no sure for any body,1.0,English,6,1,0.307,0.293,0.4,0.0258
" lmao, u saying that she should kill herself is cool tho right?",1.6,English,12,0,0.328,0.249,0.423,0.128
Kash doll and ray snapped on Giovannis way,1.3333333333333333,English,8,1,0.0,0.0,1.0,0.0
 was that YOU dancing in ur recent story???!!! 😯,4.0,English,9,1,0.0,0.0,1.0,0.0
Dm to buy full vids of local coloured mense fucking😍 ,4.4,English,10,1,0.0,0.0,1.0,0.0
 And then you change into your NSFW account and like them ,2.6,English,11,0,0.2,0.0,0.8,0.3612
"But I, I can feel it take a hold I vote #WatermelonSugar as #BestMusicVideo at the #iHeartAwards",1.0,English,17,1,0.0,0.0,1.0,0.0
Who should I draw on my live to entertain the horny mfs I know are gonna show up,3.0,English,18,0,0.133,0.0,0.867,0.3182
"how do people have so many liked songs on spotify, i only have 17 help",2.6,English,15,0,0.325,0.0,0.675,0.6983
Try that again Timmy... Ill turn you into bonemeal ,1.4,English,9,2,0.0,0.259,0.741,-0.4215
   That is simply not true! US combat deaths in Afghanistan highest in years. ,1.8,English,13,2,0.13,0.168,0.702,-0.1501
"mama ku panggil rp san ntu abang, so i have to call him uncle.",2.5,English,14,1,0.0,0.0,1.0,0.0
Leicester City fans - keep an eye on Ross Barkley. Could be moving to the Foxes on a permanent for £11m... #lcfc,1.25,English,22,1,0.0,0.0,1.0,0.0
What if i just got thick as shit😆 I can’t even picture myself like that,2.6,English,15,0,0.172,0.0,0.828,0.3612
"""Small deeds done are better than great deeds planned."" Peter Marshall #QuoteOfTheDay ",1.2,English,12,0,0.412,0.0,0.588,0.7906
#AccordingToRashidAbdi Bole airport is under the control of tplf and no more control of wfp flights to mekele!,1.0,English,18,2,0.0,0.128,0.872,-0.3595
 Always my brother.. always be with u💚,2.5,English,7,1,0.0,0.0,1.0,0.0
   I don't give out my personals online.,1.4,English,7,1,0.0,0.0,1.0,0.0
People in your social network may be able to rely on you today... More for Aquarius ,1.0,English,16,1,0.0,0.0,1.0,0.0
" Furthermore, harassment is ILLEGAL in any form!",1.75,English,7,2,0.0,0.619,0.381,-0.8452
Work work work,1.0,English,3,1,0.0,0.0,1.0,0.0
   Look at this bro,1.25,English,4,1,0.0,0.0,1.0,0.0
 It’s interesting to hear as we in Australia really have no idea what the situation is. Thanks for that.,1.5,English,19,0,0.233,0.103,0.664,0.4804
  Hello mate. Any chance you could share this please? 😁 ,1.2,English,10,0,0.532,0.0,0.468,0.7027
for you i’d bleed myself dry.,4.0,English,6,1,0.0,0.0,1.0,0.0
Just 10 weekends y’all! Ohio State @ Minn UNC @ VT Penn St @ Wisc Alabama vs Miami Georgia vs Clemson LSU @ UCLA Notre Dame vs FSU,1.0,English,28,1,0.0,0.0,1.0,0.0
"  in addition, how can you change a rule written by god. he didn't just change his mind",2.2,English,17,0,0.123,0.0,0.877,0.2732
  Holy crap! Suzi took that photo! That’s hilarious!,2.8,English,8,0,0.294,0.214,0.493,0.2444
  South African chutney?,1.25,English,3,1,0.0,0.0,1.0,0.0
  Dragon angling darma,2.25,English,3,1,0.0,0.0,1.0,0.0
 hmm 🙃,1.3333333333333333,English,2,1,0.0,0.0,1.0,0.0
Ousted Myanmar President says army tried to force him to resign hours before coup  ,1.2,English,14,2,0.0,0.156,0.844,-0.34
     Belkin_crack on Instagram helped me with same issues last week,1.6,English,10,1,0.0,0.0,1.0,0.0
this isn't a joke this is a fear I've developed in the last year or two,2.0,English,16,2,0.0,0.298,0.702,-0.6234
    celebrity privilege never surprises me.,1.5,English,5,0,0.349,0.232,0.419,0.2105
 that day is today,1.4,English,4,1,0.0,0.0,1.0,0.0
 ‘85 Sugar Bowl,1.0,English,3,1,0.0,0.0,1.0,0.0
   In Blues case a very Fluffy Fluffer ..lol,2.0,English,8,1,0.0,0.0,1.0,0.0
   In the hood we just say scope but for sure I’ll start being politically correct 💯,1.75,English,16,0,0.174,0.0,0.826,0.4497
no group of friends? it’s okay i still have one who’s true not fake.,1.75,English,14,0,0.504,0.107,0.389,0.7994
Mission accomplished. ,1.0,English,2,0,0.744,0.0,0.256,0.4404
"  Damn Shame, you tipped a $1.30",2.25,English,6,2,0.0,0.659,0.341,-0.7003
Bunny with shades of the legendary Kelly Kelly with that headscissors #WrestleMania,1.0,English,12,1,0.0,0.0,1.0,0.0
 Bet they are missing us ? Brexit done without them,1.2,English,10,2,0.0,0.216,0.784,-0.296
 Think you will find we won 22 Bronze not 4 ,2.4,English,10,0,0.316,0.0,0.684,0.5719
"Mariano Fortuny y Madrazo ( 11 May 1871 – 3 May 1949), was a Spanish ",1.25,English,15,1,0.0,0.0,1.0,0.0
 Half of them are me tweeting Irene pics let's be honest 😭😭,2.2,English,12,0,0.231,0.0,0.769,0.5106
"""That's my lil brother anw""",1.8,English,5,1,0.0,0.0,1.0,0.0
"   Impliedly, that’s what you are saying.",1.0,English,6,1,0.0,0.0,1.0,0.0
It’s crazy how #RHOP really gets the people going,2.0,English,9,2,0.0,0.231,0.769,-0.34
  I never collect am !! Oo,1.0,English,6,1,0.0,0.0,1.0,0.0
   You follow Chaatne wala media which are pro Anti-India,1.0,English,9,1,0.0,0.0,1.0,0.0
      Bet yah ass was still in a diaper fuck outta here lmaooo,1.25,English,12,2,0.0,0.438,0.562,-0.7906
"advertise,buy and sell on .....The Broker Marketplace......for free......welcome",1.0,English,8,1,0.0,0.0,1.0,0.0
 as much as i love you….. not this one,2.6,English,9,0,0.375,0.0,0.625,0.6369
In less that a month I will know if I move to the other side of the world in August 😬,1.8,English,21,1,0.0,0.0,1.0,0.0
broken promise ...you was wrong fa that 🙇🏿‍♂️💯,2.0,English,8,2,0.17,0.459,0.37,-0.5994
" Condolences to the family, friends and our community. 💔",3.0,English,9,0,0.307,0.0,0.693,0.4767
 I vote for BTS 'Dynamite' by Son Sung Deuk for #FaveChoreography at #iHeartAwards ,1.4,English,13,1,0.0,0.0,1.0,0.0
"“Follow God’s example, therefore, as dearly loved children” Ephesians 5:1",1.6,English,10,0,0.456,0.0,0.544,0.7717
 🤣🤣🤣🤣thank you TakaTina my baby kicked...kķkkķk was kinda worried the whole morning,3.25,English,12,2,0.0,0.148,0.852,-0.228
  Jung hoseok I vote #BTSARMY for #BestFanArmy at the 2021 #iHeartAwards ,1.0,English,11,1,0.0,0.0,1.0,0.0
 Come on! I’m so done with the bullshit! If females r so stupid to allow this then shame on them because they look like fools!,1.6,English,25,2,0.123,0.404,0.474,-0.9132
I just want to live life to the fullest,3.0,English,9,0,0.157,0.0,0.843,0.0772
"he looks so smol when he tripped and then he says that it was a nice b-boy move,,, im cackling ",1.6,English,20,0,0.135,0.0,0.865,0.4215
For this I bless you most: You give much and know not that you give at all. - Khalil Gibran #quote,1.6,English,21,0,0.135,0.0,0.865,0.4215
"  This is how it would be for me. It's humiliating, and embarrassing, and a waste of my time and energy...",3.2,English,20,2,0.0,0.322,0.678,-0.765
I need you mf to step your game up cause the way this man came at me I almost threw up .,2.333333333333333,English,22,1,0.0,0.0,1.0,0.0
 Thank you for your support. We are going to resist all such dictatorial moves on the part of HED and the provincial government.,1.8,English,23,0,0.198,0.0,0.802,0.6369
