,essay_id,essay_id_comp,competition_set,full_text,holistic_essay_score,discourse_id,discourse_start,discourse_end,discourse_text,discourse_type,discourse_type_num,discourse_effectiveness,hierarchical_id,hierarchical_text,hierarchical_label,provider,task,source_text,prompt_name,assignment,gender,grade_level,ell_status,race_ethnicity,economically_disadvantaged,student_disability_status,essay_word_count
3477,5.46919E+12,E07EA4606938,train,"Today most humans own a cell phones and smart watches and we used them for all types of things like texting and calling or facetime if you have IPHONE or A IPAD now with android it's a whole different story I'm going to save that one for later in the essay

Cell phones and driving is a serious thing Nowdays cause one minute your alive and then next minute your dead all because of your cell phone people please put down the cell phones when you're driving or put it on the phone stand in your car or just keep it in your pocket untill you get to where you're go

Whenever you get to where you're going that's when you pull out your phone to do whatever you want to with it like text or call or facetime order something to eat with your phone go out with friends and family. Spend time with them and not your phone put your phone down for once and go outside take a walk clear your mind.

We as people should just put the phones down and clear our mind from social media and take walks and think about how life would be without phone's but we can't do that because we need our phone's to do work and to call people.         ",2,1622860000000.0,0,206,Today most humans own a cell phones and smart watches and we used them for all types of things like texting and calling or facetime if you have IPHONE or A IPAD now with android it's a whole different story ,Lead,Lead 1,Adequate,,,,Georgia Virtual,Independent,,Phones and driving,"Today the majority of humans own and operate cell phones on a daily basis. In essay form, explain if drivers should or should not be able to use cell phones in any capacity while operating a vehicle.",M,,,Black/African American,,,226
163789,AAAXMP138200001036952810_OR,D58A10234F6A,train,"Say there is a big test coming up that affects your entire future and you want to know the best way to prepare for it. Your sister tells you to not do anything about it, saying you will pass anyway, your mother tells you to study the entire night before with little sleep so you have it all crammed in your mind, and your father says to study, get good sleep, eat a healthy breakfast, and believe in yourself. You take your fathers advice and ace the test. But if you didn't get multiple people to give you advice, you would be stuck with your sisters, which really isn't the best guidance ever. I believe seeking multiple opinions on the matter you would like advice on is important because you can hear from other experiences, you can hear from wiser people, and you can compare and find an in-between if you don't like any of the advice you received.

First off, if you ask multiple people for advice, you will receive some from people with different experiences. If you ask for advice on how to fly a plane, asking a pilot with experience would result in a better answer than someone that has never even gone to the airport. The same thing goes for passions and hobbies. They will have enough experience to help you get quality advice. So asking multiple people for advice to get someone with experience is important.

Another point I'd like to make is that some people may be wiser or more well-educated than others. It may come off as rude, but its a good point. Asking a toddler for a good book to read would have a much different outcome than asking your grandfather. This kind of ties in with my ""experience"" point as well, as younger or less wise people may also have less experience. Asking multiple people for advice to get an educated person is also important.

Lastly, what if you do not like any of the advice you received? Well, with multiple points to work off of, you can find a compromise for yourself. This also works if you like all of the advice you've gotten. If you don't like any or if you want it all, you can compare all of the advice you've been told and do the best thing for you. So yes, getting multiple views can help by getting ideas to work off of.

In conclusion, seeking and receiving multiple opinions and advice can be, and is, very important. It is important to find someone with experience. It is important to find someone with wisdom. It is very important to compare answers you've gotten to see which one you like best, or create your own depending on what you like from the advice. Seeking multiple opinions can help someone make a better choice. ",4,1617820000000.0,1771,1779,"
Lastly, ",Unannotated,Unannotated 4,,,,,Virginia,Independent,,Seeking multiple opinions,"When people ask for advice, they sometimes talk to more than one person. Explain why seeking multiple opinions can help someone make a better choice. Use specific details and examples in your response.",F,8.0,No,White,Economically disadvantaged,Not identified as having disability,470
83731,2171000677,BE62C5534E8B,train,well i think that would be unfair most people can barely contain a c average changing it to a b would just be dumb first of all you would reduce the amount of players we have for our teams some kids wont even have time to practice cause there to busy studying and trying to keep a b average some times it will even go so far as that it will even cut into there practice times the coach will be very mad and they will get kicked of the team because of you do you really want kids to look at you saying that you are the most unfair and mean principle we could get no i did not think so now think twice when think you are right about changing things such as the school policy they not be good at the sport no more that's how hard they have worked them so much that even have to quit the only thing there good at,2,1616970000000.0,115,127,first of all ,Unannotated,Unannotated 1,,,,,NCES,Independent,,Grades for extracurricular activities,"Your principal is considering changing school policy so that students may not participate in sports or other activities unless they have at least a grade B average. Many students have a grade C average. 
She would like to hear the students' views on this possible policy change. Write a letter to your principal arguing for or against requiring at least a grade B average to participate in sports or other activities. Be sure to support your arguments with specific reasons.",M,8.0,No,White,Economically disadvantaged,Not identified as having disability,167
12531,5375122,A0A993C76428,train,"Everyone know cars are bad for the environment, but it is also bad for you. It ruins our planet and stresses us out.

To begin with limiting cars can help our environment. According to the passage ""Car-Free Cities"" cars are responsible for 12 percent of greenhouse gas emmissions just in Europe. By limiting cars that 12 percent can go to a 6 percent or mabe lower. To add to that cars make a very big amout of smog. In the passage "" Paris Bans Driving Due to Smog"" it says "" Congestion was down 60 percent in the capital of France after five-days of intensifying smog."" that has to be a huge amount of smog fo congestion to be down 60 percent! Most of that smog id made by cars. To limit cars is to limit Pollution.

In addition cars bring people down. In the passage "" Car-Free Cities "" they ban cars one of the citizens, Heidrun Walter, a media trainer said ""When I had a car I was always tense. I'm much happier this way,"". As you can tell with no cars she is a happier person. Not only that but, in the passage ""Car-Free Day is Spinning Into a Big Hit in Bogota"" businessman Carlos Arturo Plaza said "" It's a goo opportunity to take away stress and lower air pollution,"" saying bye to cars helps ake away stress.

In conclution, getting rid off cars is a great way to relive stress and fix our environment. Car only pollute our air and gives us stress, without cars will do much better!       ",3,1622570000000.0,94,97,and ,Unannotated,Unannotated 3,,,,,Florida,Text dependent,"Source 1: ""In German Suburb, Life Goes On Without Cars,"" by Elisabeth Rosenthal 
 Source 2: ""Paris bans driving due to smog,"" by Robert Duffer 
 Source 3: ""Car-free day is spinning into a big hit in Bogota,"" by Andrew Selsky 
 Source 4: ""The end of car culture,"" by Elisabeth Rosenthal",Car-free cities,Write an explanatory essay to inform fellow citizens about the advantages of limiting car usage. Your essay must be based on ideas and information that can be found in the passage set. Manage your time carefully so that you can read the passages; plan your response; write your response; and revise and edit your response. Be sure to use evidence from multiple sources; and avoid overly relying on one source. Your response should be in the form of a multiparagraph essay. Write your essay in the space provided.,M,10.0,No,Hispanic/Latino,,,266
126730,2021003640,0E6ADE74D132,train,"Dear Principal,

I believe that policy 1 is the best policy to enforce about cell phones. This policy will allow us to contact our parents or friends if needed. The use of cell phones in class is wrong but having them during lunch will not cause disruptions. Cell phones can be an annoyance during class but having them when not in class is perfectly acceptable.

Cell phones are disruptive to teachers and other students during class. If a phone goes off while others are trying to learn it interrupts their attention and annoys the teacher. However having cell phones during lunch or free periods would not disrupt any learning because you are not in a classroom. As long as cell phones are turned off and not being used during class time I see no reason why students should not be allowed to have them.

If a student gets sick or needs something having a cell phone with them can let them call home to contact someone. Even though they can call from the office having a cell phone on hand is a quicker and easier way to contact somebody. Also if a student has some kind of after school practice and can't have their phone with them at school then they won't be able to let their parent know if practice is running late or will finish early. Cell phones are necessary for students to have.

Policy 2 states that students can not have phones at school at all. If you choose policy 2 then students will still bring their phones and use them even more. Teenagers do what they are told not to do. If you tell us we can't have our phones that will just make us want to have them more. Policy 2 will just create more cell phone usage at school and more disruptions to the learning environment.

As you can see I believe that policy 1 is the best policy to enforce at this school. It will let students have their phones outside of class and they can have them if they need to contact some one. Even though cell phones are a nuisance to class this policy only lets you have them when you are not in class. Cell phones are necessary for contacting a parent or just for texting a friend. This is why policy 1 is the best policy for our school.

Sincerely,

STUDENT_NAME",4,1620680000000.0,0,16,"Dear Principal,

",Unannotated,Unannotated 1,,,,,NCES,Independent,,Cell phones at school,"Your principal is reconsidering the school's cell phone policy. She is considering two possible policies: 
Policy 1: Allow students to bring phones to school and use them during lunch periods and other free times, as long as the phones are turned off during class time. 
Policy 2: Do not allow students to have phones at school at all.
Write a letter to your principal convincing her which policy you believe is better. Support your position with specific reasons.",F,8.0,No,White,Not economically disadvantaged,Not identified as having disability,395
20700,AAAXMP138200000474622144_OR,E30209138F4A,train,"Summer break is all about fun and hanging out with friends. But it is important for students to continue to learn during this period. The smallest things can help students continue their education during break. This task can be made possible if students could design their own projects rather than relying on the teachers. The summer projects should not be teacher-designed because instructors control class and projects during the school year. One project that is student-designed will give the students a turn to control the expectations and rubric. If students could manage and design their own projects, it would give them an opportunity to create something that expresses their interests while enjoying their summer break.

When students are let out of school for summer break they are looking forward to the time off from school. The warm weather makes it fun to hang out with friends outdoors and go swimming. But if teachers were create and design a project for students to complete then that would be taking the fun out of summer break. It would be a hassle for students to be required to complete a teacher-designed project rather than the students designing the requirements and topic for the project. If the students have to take time out their summer to complete a project then it should designed by them. During the entire school year students are required to complete assignments at their instructors expense. Students are in school for more than half of the year, it is important that they can enjoy their lengthy summer break without being controlled by their teachers. If the students are required to complete a project during their summer break then it should be designed by the students. Summer break is meant to give students time to relax from stressful, hefty homework. It would be unfair to students if they were required to complete a project that was teacher-designed due to the importance for students to experience a stress-free break rather than worrying about due dates for assignments and tests.

Summer work is no fun for any student. It will be hard to convince any student to continue their education during their summer break because summer is all about no homework or projects. A way around that issue is giving the students a chance to complete the project at their own pace and interest. Any summer projects or assignments for students should be based around their interest rather than teachers interest. During the summer students will be busy having fun with friends, going on vacation or enjoying their time off from school. If a teacher assigns students an assignment or project that is not appealing, the chances of the students putting 100% effort into the project is slim. Also, the chances of students actually completing a teacher-based project efficiently is slim as well. But, if it was a student-designed project, the completion rate would skyrocket due to the fact the students would actually want to do the summer work. It will be hard for students to motivate and push themselves to complete a project if it is boring. Teacher-design summer work would be unfair to students that would like to control their education and topic. Projects and assignments based on the students interest would exemplify better work ethic and dedication. It is important for students to continue learning during the summer, but it should be learning based on their interests and goals rather than any teacher.

It would not be a good decision to let students design and control their own summer projects or assignments because it is important students are learning the correct material necessary for class. It would be pointless for students to complete a summer assignment or project if it was not based on the school's curriculum. A teacher-designed project would be more beneficial for the students than allowing the students to design their own project, The instructors are aware of the things the students will be required to learn during the school year. If the teachers would be allowed to control the summer work then it would give the students a head start on the upcoming material in their classes. Overall, the teacher's should control the requirements and rubric for the summer work because the students would learn things that are related to school rather than researching things that are irrelevant to anything they would be exposed to during the school year.

Moreover, students should be given the freedom to choose any topic for their summer work rather than letting the teachers design the projects. Summer is about free time and preparing for the next school year to come. But, if students had to worry and stress about a difficult, teacher-deigned project then it would be sucking the fun out of summer break. It would be unfair for teachers to require students to complete an assignment based on the instructors expectations. It would be easier for students to show their hobbies and interests through a project that they would enjoy rather than letting the instructor choose. ",5,1619120000000.0,728,1790,"When students are let out of school for summer break they are looking forward to the time off from school. The warm weather makes it fun to hang out with friends outdoors and go swimming. But if teachers were create and design a project for students to complete then that would be taking the fun out of summer break. It would be a hassle for students to be required to complete a teacher-designed project rather than the students designing the requirements and topic for the project. If the students have to take time out their summer to complete a project then it should designed by them. During the entire school year students are required to complete assignments at their instructors expense. Students are in school for more than half of the year, it is important that they can enjoy their lengthy summer break without being controlled by their teachers. If the students are required to complete a project during their summer break then it should be designed by the students. Summer break is meant to give students time to relax from stressful, hefty homework ",Evidence,Evidence 2,Effective,1619120000000.0, It would be unfair to students if they were required to complete a project that was teacher-designed due to the importance for students to experience a stress-free break rather than worrying about due dates for assignments and tests.,Claim,Virginia,Independent,,Summer projects,Some schools require students to complete summer projects to assure they continue learning during their break. Should these summer projects be teacher-designed or student-designed? Take a position on this question. Support your response with reasons and specific examples.,F,11.0,No,Two or more races/Other,Not economically disadvantaged,Not identified as having disability,828
79516,2081003999,0610C8536282,train,"Dear Principal,

I would think it would be good for our school if we started the community service because, it would help our school and our community. To start we could start recycling and cleaning trash, we could start making gardens with flowers everywhere. I also think it is very important to clean our community and schools. It is also a good way to raise money for activities and sports.

Even though it takes up your time doesn't mean u could do little work.

You can say it is for extra credit or who ever plants the most flowers can win a t-shirt. Get up and do something don't just sit around and do nothing about it .The earth is getting more destroyed than we know it and if we all pitch in we can make it a better place to live. that's what i think about this cause i think we should do it.

sincerely ,your student",2,1614800000000.0,429,465,doesn't mean u could do little work. ,Rebuttal,Rebuttal 1,Adequate,1614800000000.0,Even though it takes up your time,Counterclaim,NCES,Independent,,Community service,"Some of your friends perform community service. For example, some tutor elementary school children and others clean up litter. They think helping the community is very important. But other friends of yours think community service takes too much time away from what they need or want to do. 
Your principal is deciding whether to require all students to perform community service. 
Write a letter to your principal in which you take a position on whether students should be required to perform community service. Support your position with examples.",F,8.0,No,White,Not economically disadvantaged,Not identified as having disability,154
30586,AAAXMP138200002075382144_OR,942BFAC1A722,train,"Summer projects should be student-designed.

Most students dislike doing summer projects because they think of it as a chore.

By giving them the freedom to design the project themselves, they can have fun and share their creativity.

Students will be able to learn in a different way when they design their own assignments.

This could make it easier for students to learn and remember materials taught to them in previous years.

This may be a great thing for teachers as well.

I believe they will be amazed by their students projects.

They will see how creative their students are.

This may also help them with ideas for future assignments.

These projects don't only help the students, they help the teachers learn more about each student.

However, there is a downside to student-designed projects.

Teachers may have difficulty grading the projects if they don't make the assignments themselves.

Teachers can also find it easier to make the assignments themselves and use it for all of their classes.

Students may get caught up in using their creativity and having fun, that they lose sight of the assignment's purpose.

Students may end up recieving a bad grade because of these issues.

In conclusion, students should be able to design their own summer projects.

This will help them learn in a different way and share their creativity.  ",3,1618770000000.0,904,1009,"Teachers can also find it easier to make the assignments themselves and use it for all of their classes. 
",Evidence,Evidence 4,Adequate,1618770000000.0,"Teachers may have difficulty grading the projects if they don't make the assignments themselves.
",Counterclaim,Virginia,Independent,,Summer projects,Some schools require students to complete summer projects to assure they continue learning during their break. Should these summer projects be teacher-designed or student-designed? Take a position on this question. Support your response with reasons and specific examples.,F,10.0,No,Black/African American,Not economically disadvantaged,Not identified as having disability,207
38005,AAAXMP138200001728272850_OR,50855373AC95,train,"Would you want to be forced to do an extracurricular activity? It would not make any sense for our principle to force everyone to do an activity after school. It should be our choice on whether or not we want to do one or not. Also for some kids it may be hard to fit one into their schedule, they may not have transportation to and from the activity, or they could just not want to do an extra activity.

First, some kids might have to do things after school that wouldn't leave any time for an extracurricular activity. They may have to take care of younger siblings while their parents are at work. They could even have a job that doing an extra activity would make them late to. Also we have tons of homework every night that we have to do that takes up a lot of time. Basically many kids have way more important things to do and cannot make time for an extra activity

Second, transportation home from the activity may be a struggle for many kids. They could have parents that work so they would have no way to get home. Most parents are not out of work until hours after their children get home off the bus. Having to stay after school and not take the bus home would leave many kids without a ride back to their house.

Last, doing an extracurricular activity could not be in the interest of a lot of kids. They could be exhausted from a long day of school and just want to go home and rest. They could also not have much athletic ability that would make it harder for them to do a sport. As far as student council, yearbook, or other after school activities like those, although those things may be interesting to some students, they are definitely not to everybody.

In conclusion, our principle should not force us to do an extracurricular activity. It is time consuming, forces everyone to have to find a way home from school other than the bus, and may not be what everyone wants to do. We should have a choice on whether or not we do an extra activity. We are old enough to make our own choices and we dont need our principle to be telling us what to do inside and outside of school.",4,1616020000000.0,952,1224,They could have parents that work so they would have no way to get home. Most parents are not out of work until hours after their children get home off the bus. Having to stay after school and not take the bus home would leave many kids without a ride back to their house. ,Evidence,Evidence 2,Adequate,1616020000000.0," they may not have transportation to and from the activity,",Claim,Virginia,Independent,,Mandatory extracurricular activities,"Your principal has decided that all students must participate in at least one extracurricular activity. For example, students could participate in sports, work on the yearbook, or serve on the student council. Do you agree or disagree with this decision? Use specific details and examples to convince others to support your position. ",F,8.0,No,Two or more races/Other,Economically disadvantaged,Not identified as having disability,392
58998,AAATRP14318000726697,2E9B5CD4716D,train,"Do we need a Facial Action Coding System in our classrooms? I agree, with using a Facial Acton Coding System in our classroom. The Facial Action Coding System could help teacher know what their students' emotions are, and if the students emotions are in negative mood or positive mood they can change their lessons so they are more interesting for the students. Not only could this help the teachers but, this may help the students be more engaged in the classroom and participate more duriung lessons when they need to. Classroom computers acn already dectect how a student is feeling by giving teh student a certain AD depending on their mood.""A classroom computer could reconize when a student is becoming confused or bored,"" Dr. Huang predicts(Paragraph 6). If you make a facial expression it not only shows how you are feeling, it can also help you produce your facial muscles. In conculsion, it woulcd be a great idea for teachers to use them in the classroom, and they probably put them in work areas so managers know how their emploees are feeling in their work area.",2,1618960000000.0,0,59,Do we need a Facial Action Coding System in our classrooms? ,Lead,Lead 1,Adequate,,,,Indiana,Text dependent,"""Making Mona Lisa Smile"", by Nick D'Alto",Facial action coding system,"In the article ""Making Mona Lisa Smile,"" the author describes how a new technology called the Facial Action Coding System enables computers to identify human emotions. Using details from the article, write an essay arguing whether the use of this technology to read the emotional expressions of students in a classroom is valuable.",M,10.0,Yes,Hispanic/Latino,Economically disadvantaged,Identified as having disability,186
