,id,VAD,source,text,emotions,split,emotion_model,domain,labeled,annotation_procedure
141972,141972,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@maryk3lly  i didnt watch star trek yet.... i thought that i will watch it last night ... but i didnt... =( ... i will watch it today...,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
95476,95476,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Demographics say an average age of 28.7 , educational background of university or post-grad , annual household income of 40-50 K a year .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
22898,22898,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Hey ! Watch out ! You're using the same spoon for both broths !,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
138547,138547,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"@Pandabeara nope, up tomorrow  I'm tired need bed","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
83356,83356,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,How do I use the eye-drop and ointment ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
3716,3716,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Any particular brand ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
122836,122836,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Tired.....but can't go to bed yet.....,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
140417,140417,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@janine_j9 Jess just posted some hawt pics on the board J ... u should check them out...,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
128074,128074,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Hannah slept here last night  just gave her her 5:00 AM bottle and she went right back to sleep but I'm up! lol,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
24769,24769,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"We have just arrived from Tokyo and we've been looking for our reserved car of your company all over , but we cannot find it .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
61214,61214,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Really ? You have that much faith in me ? And Giovanni agreed to it ? Does he know who I am ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
145484,145484,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,#MyHomelessSignWouldSay VOTE FOR OBAMA OR BE PREPARED TO SEE ALOT MORE SIGNS LIKE THIS!!!,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': 0, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
6333,6333,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Can you remember them all ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
97764,97764,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I ’ m kind of useless in that area , but I ’ ll take a look at it .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
101394,101394,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,You have a warrant .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
142614,142614,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,happy mother's dayy!!! to me andd the rest of the fabulous mommy's out there,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
